Site,lat,long
Allyn Ramp,47.384543,-122.826552
Arcadia Ramp,47.197374,-122.938696
Armeni Ramp,47.591993,-122.382263
Squalicum Harbor,48.721543,-122.509471
Big Beef,47.656126,-122.784804
Blaine Ramp,48.993359,-122.753611
Boston Harbor,47.14007,-122.90544
Breakwater Marina,47.305434,-122.513408
Browns Point,47.304968,-122.443893
Brownsville Ramp,47.652026,-122.616023
Bush Point ,48.033482,-122.60323
Commencement Bay,47.255802,-122.432427
Cornet Bay,48.397406,-122.631008
Sekiu,48.263847,-124.292773
Dash Point,47.3202,-122.429901
Driftwood Park,48.163669,-122.637492
Ediz Hook,48.120798,-123.428307
Edmonds,47.810212,-122.393381
Everett,48.004731,-122.222072
Fort Casey,48.158256,-122.671345
Fort Worden ,48.115697,-122.752103
Freshwater Bay,48.14648,-123.641606
Gig Harbor,47.33782,-122.582696
San Juan Island,48.541226,-123.102599
Harstene Island,47.246988,-122.92977
Home ,47.274955,-122.760348
Hood Canal Bridge ,47.859609,-122.623587
Hoodsport,47.406639,-123.137663
Keystone,48.156304,-122.671062
Kingston,47.796328,-122.499481
Lagoon Point,48.078984,-122.611896
Luhr Beach,47.100894,-122.726905
Manchester,47.555899,-122.542338
Marrowstone Beach,48.101217,-122.68702
Misery Point,47.653635,-122.835231
Mukilteo,47.948177,-122.307854
Tacoma Narrows,47.265791,-122.553442
Oak Bay,48.022736,-122.729002
Olalla,47.429197,-122.531999
Pleasant Harbor,47.660449,-122.920067
Point Defiance,47.310897,-122.509524
Point No Point,47.912147,-122.528459
Point Wilson,48.144504,-122.755831
Port Angeles,48.128385,-123.456685
Port Townsend,48.107596,-122.77465
Possession Point,47.904924,-122.376506
Quilcene,47.801534,-122.866775
Redondo ,47.348468,-122.325797
Shilshole,47.687015,-122.404359
Shipyard Cove,48.52707,-122.999468
Skokomish Ramp,47.368296,-123.157593
Skyline Marina,48.494374,-122.683292
Swantown Marina,47.057877,-122.898528
Swinomish Channel,48.454685,-122.513888
Twanoh,47.378094,-122.975935
Union,47.357988,-123.10055
Washington Park,48.500368,-122.692746
Zittels,47.164821,-122.808615
Big Beef,47.656126,-122.784804
Allyn Ramp,47.384543,-122.826552
Griffin Bay,48.519507,-123.013147
Friday Harbor,48.538266,-123.015609
Roche Harbor,48.607305,-123.154726
Snug Harbor,48.570458,-123.167878
