"datestamp","site","interviews","anglers","chinook","coho","pink","chum","lingcod","halibut","sampleday","allsalmon","cuinterviews","cuanglers","cuchinook","cucoho","cupink","cuchum","culingcod","cuhalibut","cusampleday","cuallsalmon"
2017-07-25,"Armeni Ramp",14,29,4,1,0,0,0,0,1,5,14,29,4,1,0,0,0,0,1,5
2017-07-26,"Armeni Ramp",0,0,0,0,0,0,0,0,0,0,14,29,4,1,0,0,0,0,1,5
2017-07-27,"Armeni Ramp",0,0,0,0,0,0,0,0,0,0,14,29,4,1,0,0,0,0,1,5
2017-07-28,"Armeni Ramp",39,75,4,4,0,0,0,0,1,8,53,104,8,5,0,0,0,0,2,13
2017-07-29,"Armeni Ramp",29,60,4,8,0,0,0,0,1,12,82,164,12,13,0,0,0,0,3,25
2017-07-30,"Armeni Ramp",30,62,6,12,0,0,0,0,1,18,112,226,18,25,0,0,0,0,4,43
2017-07-31,"Armeni Ramp",0,0,0,0,0,0,0,0,0,0,112,226,18,25,0,0,0,0,4,43
2017-08-01,"Armeni Ramp",19,34,6,4,1,0,0,0,1,11,131,260,24,29,1,0,0,0,5,54
2017-08-02,"Armeni Ramp",30,59,10,6,4,0,0,0,1,20,161,319,34,35,5,0,0,0,6,74
2017-08-03,"Armeni Ramp",0,0,0,0,0,0,0,0,0,0,161,319,34,35,5,0,0,0,6,74
2017-08-04,"Armeni Ramp",39,75,10,9,0,0,0,0,1,19,200,394,44,44,5,0,0,0,7,93
2017-08-05,"Armeni Ramp",0,0,0,0,0,0,0,0,0,0,200,394,44,44,5,0,0,0,7,93
2017-08-06,"Armeni Ramp",36,73,15,4,2,0,0,0,1,21,236,467,59,48,7,0,0,0,8,114
2017-08-07,"Armeni Ramp",0,0,0,0,0,0,0,0,0,0,236,467,59,48,7,0,0,0,8,114
2017-08-08,"Armeni Ramp",19,33,10,1,1,0,0,0,1,12,255,500,69,49,8,0,0,0,9,126
2017-08-09,"Armeni Ramp",0,0,0,0,0,0,0,0,0,0,255,500,69,49,8,0,0,0,9,126
2017-08-10,"Armeni Ramp",39,67,21,7,2,0,0,0,1,30,294,567,90,56,10,0,0,0,10,156
2017-08-11,"Armeni Ramp",125,266,65,18,8,0,0,0,1,91,419,833,155,74,18,0,0,0,11,247
2017-08-12,"Armeni Ramp",72,170,40,7,5,0,0,0,1,52,491,1003,195,81,23,0,0,0,12,299
2017-08-13,"Armeni Ramp",105,230,55,4,10,0,0,0,1,69,596,1233,250,85,33,0,0,0,13,368
2017-08-14,"Armeni Ramp",41,75,18,8,3,0,0,0,1,29,637,1308,268,93,36,0,0,0,14,397
2017-08-15,"Armeni Ramp",24,42,7,5,5,0,0,0,1,17,661,1350,275,98,41,0,0,0,15,414
2017-08-16,"Armeni Ramp",12,21,1,0,1,0,0,0,1,2,673,1371,276,98,42,0,0,0,16,416
2017-08-17,"Armeni Ramp",0,0,0,0,0,0,0,0,0,0,673,1371,276,98,42,0,0,0,16,416
2017-08-18,"Armeni Ramp",24,45,13,1,2,0,0,0,1,16,697,1416,289,99,44,0,0,0,17,432
2017-08-19,"Armeni Ramp",42,101,29,5,4,0,0,0,1,38,739,1517,318,104,48,0,0,0,18,470
2017-08-20,"Armeni Ramp",22,55,17,3,2,0,0,0,1,22,761,1572,335,107,50,0,0,0,19,492
2017-08-21,"Armeni Ramp",0,0,0,0,0,0,0,0,0,0,761,1572,335,107,50,0,0,0,19,492
2017-08-22,"Armeni Ramp",18,29,9,0,1,0,0,0,1,10,779,1601,344,107,51,0,0,0,20,502
2017-08-23,"Armeni Ramp",19,35,12,2,3,0,0,0,1,17,798,1636,356,109,54,0,0,0,21,519
2017-08-24,"Armeni Ramp",15,27,12,4,1,0,0,0,1,17,813,1663,368,113,55,0,0,0,22,536
2017-08-25,"Armeni Ramp",21,40,15,6,0,0,0,0,1,21,834,1703,383,119,55,0,0,0,23,557
2017-08-26,"Armeni Ramp",40,89,27,19,3,1,0,0,1,50,874,1792,410,138,58,1,0,0,24,607
2017-08-27,"Armeni Ramp",28,64,16,7,5,1,0,0,1,29,902,1856,426,145,63,2,0,0,25,636
2017-08-28,"Armeni Ramp",24,45,7,0,3,0,0,0,1,10,926,1901,433,145,66,2,0,0,26,646
2017-08-29,"Armeni Ramp",16,26,14,1,7,0,0,0,1,22,942,1927,447,146,73,2,0,0,27,668
2017-08-30,"Armeni Ramp",16,30,5,5,0,0,0,0,1,10,958,1957,452,151,73,2,0,0,28,678
2017-08-31,"Armeni Ramp",21,35,8,3,0,0,0,0,1,11,979,1992,460,154,73,2,0,0,29,689
2017-09-01,"Armeni Ramp",21,37,10,11,0,0,0,0,1,21,1000,2029,470,165,73,2,0,0,30,710
2017-09-02,"Armeni Ramp",0,0,0,0,0,0,0,0,0,0,1000,2029,470,165,73,2,0,0,30,710
2017-09-03,"Armeni Ramp",0,0,0,0,0,0,0,0,0,0,1000,2029,470,165,73,2,0,0,30,710
2017-09-04,"Armeni Ramp",0,0,0,0,0,0,0,0,0,0,1000,2029,470,165,73,2,0,0,30,710
2017-09-05,"Armeni Ramp",0,0,0,0,0,0,0,0,0,0,1000,2029,470,165,73,2,0,0,30,710
