"Site","rawsite","datestamp","catcharea","interviews","anglers","chinook","coho","pink","chum","lingcod","halibut","lat","long"
"Armeni Ramp","Armeni Public Ramp",2019-06-01,"10",5,13,0,2,0,0,3,0,47.591993,-122.382263
"Coronet Bay","Coronet Bay Public Ramp",2019-06-01,"7",5,17,0,0,0,0,3,0,48.401541,-122.622947
"Coronet Bay","Coronet Bay Public Ramp",2019-06-01,"8-1",1,1,0,0,0,0,0,0,48.401541,-122.622947
"Coronet Bay","Coronet Bay Public Ramp",2019-05-26,"6",44,112,0,0,0,0,4,11,48.401541,-122.622947
"Coronet Bay","Coronet Bay Public Ramp",2019-05-31,"7",1,1,0,0,0,0,0,0,48.401541,-122.622947
"Coronet Bay","Coronet Bay Public Ramp",2019-05-31,"8-1",1,2,0,0,0,0,0,0,48.401541,-122.622947
"Coronet Bay","Coronet Bay Public Ramp",2019-05-30,"7",9,19,0,0,0,0,6,0,48.401541,-122.622947
"Coronet Bay","Coronet Bay Public Ramp",2019-05-30,"8-1",2,5,0,0,0,0,1,0,48.401541,-122.622947
"Coronet Bay","Coronet Bay Public Ramp",2019-06-01,"6",1,2,0,0,0,0,0,0,48.401541,-122.622947
"Coronet Bay","Coronet Bay Public Ramp",2019-05-30,"6",7,18,0,0,0,0,1,1,48.401541,-122.622947
"Coronet Bay","Coronet Bay Public Ramp",2019-05-26,"8-1",1,3,0,0,0,0,2,0,48.401541,-122.622947
"Coronet Bay","Coronet Bay Public Ramp",2019-05-26,"7",40,106,0,0,0,0,12,1,48.401541,-122.622947
"Ediz Hook","Ediz Hook, Port Angeles Public Ramp",2019-06-01,"6",4,10,0,0,0,0,0,1,48.120798,-123.428307
"Ediz Hook","Ediz Hook, Port Angeles Public Ramp",2019-05-30,"6",31,59,0,0,0,0,0,16,48.120798,-123.428307
"Everett","Everett Ramp (formerly Norton Street Ramp (2010))",2019-05-30,"9",1,2,0,0,0,0,0,0,48.004731,-122.222072
"Everett","Everett Ramp (formerly Norton Street Ramp (2010))",2019-05-30,"6",1,2,0,0,0,0,0,0,48.004731,-122.222072
"Everett","Everett Ramp (formerly Norton Street Ramp (2010))",2019-05-31,"8-2",18,28,2,0,0,0,0,0,48.004731,-122.222072
"Everett","Everett Ramp (formerly Norton Street Ramp (2010))",2019-05-31,"9",1,2,0,0,0,0,0,0,48.004731,-122.222072
"Friday Harbor","Port of Friday Harbor Marina, San Juan Is",2019-06-01,"7",1,4,0,0,0,0,0,0,48.538266,-123.015609
"Kingston","Kingston Public Ramp",2019-06-01,"10",8,17,0,0,0,0,0,0,47.796328,-122.499481
"Kingston","Kingston Public Ramp",2019-06-01,"9",3,6,0,0,0,0,0,0,47.796328,-122.499481
"Kingston","Kingston Public Ramp",2019-05-31,"9",1,1,0,0,0,0,0,0,47.796328,-122.499481
"Mukilteo","Mukilteo Lighthouse Park (State Park Public Ramp)",2019-06-01,"10",1,2,0,0,0,0,0,0,47.948177,-122.307854
"Mukilteo","Mukilteo Lighthouse Park (State Park Public Ramp)",2019-06-01,"8-2",3,7,0,0,0,0,0,0,47.948177,-122.307854
