"Ramp/site","Catch area","# Interviews (Boat or Shore)","Anglers","Chinook (per angler)","Chinook","Coho","Chum","Pink","Sockeye","Lingcod","Halibut","datetxt"
"Armeni Public Ramp","10",5,13,0,0,2,0,0,0,3,0,"Jun. 1, 2019"
"Bellingham Ramp (Glenn St.) Squalicum Harbor","7",3,9,0,0,0,0,0,0,1,0,"Jun. 1, 2019"
"Coronet Bay Public Ramp","6",1,2,0,0,0,0,0,0,0,0,"Jun. 1, 2019"
"Coronet Bay Public Ramp","7",5,17,0,0,0,0,0,0,3,0,"Jun. 1, 2019"
"Coronet Bay Public Ramp","8-1",1,1,0,0,0,0,0,0,0,0,"Jun. 1, 2019"
"Curleys Resort","5",2,4,0,0,0,0,0,0,0,1,"Jun. 1, 2019"
"Ediz Hook, Port Angeles Public Ramp","6",4,10,0,0,0,0,0,0,0,1,"Jun. 1, 2019"
"John Wayne Marina","6",23,58,0,0,0,0,0,0,0,1,"Jun. 1, 2019"
"John Wayne Marina Docks","6",2,8,0,0,0,0,0,0,0,0,"Jun. 1, 2019"
"Kingston Public Ramp","10",8,17,0,0,0,0,0,0,0,0,"Jun. 1, 2019"
"Kingston Public Ramp","9",3,6,0,0,0,0,0,0,0,0,"Jun. 1, 2019"
"Mukilteo Lighthouse Park (State Park Public Ramp)","10",1,2,0,0,0,0,0,0,0,0,"Jun. 1, 2019"
"Mukilteo Lighthouse Park (State Park Public Ramp)","8-2",3,7,0,0,0,0,0,0,0,0,"Jun. 1, 2019"
"Mukilteo Lighthouse Park (State Park Public Ramp)","9",4,15,0,0,0,0,0,0,2,0,"Jun. 1, 2019"
"Olson's Resort","5",24,59,0,0,0,0,0,0,1,11,"Jun. 1, 2019"
"Port Angeles West Ramp","6",9,19,0,0,0,0,0,0,0,2,"Jun. 1, 2019"
"Port of Friday Harbor Marina, San Juan Is","7",1,4,0,0,0,0,0,0,0,0,"Jun. 1, 2019"
"Port Townsend Boat Haven Ramp","6",4,10,0,0,0,0,0,0,1,0,"Jun. 1, 2019"
"Van Ripers Resort","5",8,15,0,0,0,0,0,0,1,4,"Jun. 1, 2019"
"Washington Park Launch Ramp","7",9,25,0,0,0,0,0,0,5,0,"Jun. 1, 2019"
"Coronet Bay Public Ramp","7",1,1,0,0,0,0,0,0,0,0,"May. 31, 2019"
"Coronet Bay Public Ramp","8-1",1,2,0,0,0,0,0,0,0,0,"May. 31, 2019"
"Everett Ramp (formerly Norton Street Ramp (2010))","8-2",18,28,0.07,2,0,0,0,0,0,0,"May. 31, 2019"
"Everett Ramp (formerly Norton Street Ramp (2010))","9",1,2,0,0,0,0,0,0,0,0,"May. 31, 2019"
"Kingston Public Ramp","9",1,1,0,0,0,0,0,0,0,0,"May. 31, 2019"
"Port Townsend Boat Haven Ramp","6",2,4,0,0,0,0,0,0,0,0,"May. 31, 2019"
"Shilshole Public Ramp","9",1,4,0,0,0,0,0,0,0,0,"May. 31, 2019"
"Washington Park Launch Ramp","7",5,12,0,0,0,0,0,0,2,0,"May. 31, 2019"
"Bellingham Ramp (Glenn St.) Squalicum Harbor","7",4,11,0,0,0,0,0,0,0,0,"May. 30, 2019"
"Coronet Bay Public Ramp","6",7,18,0,0,0,0,0,0,1,1,"May. 30, 2019"
"Coronet Bay Public Ramp","7",9,19,0,0,0,0,0,0,6,0,"May. 30, 2019"
"Coronet Bay Public Ramp","8-1",2,5,0,0,0,0,0,0,1,0,"May. 30, 2019"
"Curleys Resort","5",1,1,0,0,0,0,0,0,0,0,"May. 30, 2019"
"Ediz Hook, Port Angeles Public Ramp","6",31,59,0,0,0,0,0,0,0,16,"May. 30, 2019"
"Everett Ramp (formerly Norton Street Ramp (2010))","6",1,2,0,0,0,0,0,0,0,0,"May. 30, 2019"
"Everett Ramp (formerly Norton Street Ramp (2010))","9",1,2,0,0,0,0,0,0,0,0,"May. 30, 2019"
"John Wayne Marina","6",6,16,0,0,0,0,0,0,0,0,"May. 30, 2019"
"John Wayne Marina Docks","6",4,8,0,0,0,0,0,0,0,1,"May. 30, 2019"
"Mukilteo Lighthouse Park (State Park Public Ramp)","9",1,2,0,0,0,0,0,0,0,0,"May. 30, 2019"
"Olson's Resort","4",3,8,0,0,0,0,0,0,0,2,"May. 30, 2019"
"Olson's Resort","5",22,46,0,0,0,0,0,0,2,13,"May. 30, 2019"
"Port Angeles West Ramp","6",12,25,0,0,0,0,0,0,0,2,"May. 30, 2019"
"Van Ripers Resort","5",12,23,0,0,0,0,0,0,0,4,"May. 30, 2019"
"John Wayne Marina","6",1,2,0,0,0,0,0,0,0,0,"May. 29, 2019"
"Bellingham Ramp (Glenn St.) Squalicum Harbor","7",4,9,0,0,0,0,0,0,0,0,"May. 26, 2019"
"Coronet Bay Public Ramp","6",44,112,0,0,0,0,0,0,4,11,"May. 26, 2019"
"Coronet Bay Public Ramp","7",40,106,0,0,0,0,0,0,12,1,"May. 26, 2019"
"Coronet Bay Public Ramp","8-1",1,3,0,0,0,0,0,0,2,0,"May. 26, 2019"
"Curleys Resort","4",1,4,0,0,0,0,0,0,2,2,"May. 26, 2019"
"Curleys Resort","5",2,4,0,0,0,0,0,0,0,0,"May. 26, 2019"
